Samples,smpl_label,Barcodes,smpl_folder,Year,Month,State,site,Season_full,Season
S1806_NY_SC_VA_barcode02,1806_NY2,barcode02,1806_NY_SC_VA,2018,6,NY,NY2,Early summer,ES
S1806_NY_SC_VA_barcode03,1806_NY3,barcode03,1806_NY_SC_VA,2018,6,NY,NY3,Early summer,ES
S1806_NY_SC_VA_barcode04,1806_SC1,barcode04,1806_NY_SC_VA,2018,6,SC,SC1,Early summer,ES
S1806_NY_SC_VA_barcode05,1806_SC2,barcode05,1806_NY_SC_VA,2018,6,SC,SC2,Early summer,ES
S1806_NY_SC_VA_barcode06,1806_SC3,barcode06,1806_NY_SC_VA,2018,6,SC,SC3,Early summer,ES
S1806_NY_SC_VA_barcode07,1806_VAC1,barcode07,1806_NY_SC_VA,2018,6,VA,C1,Early summer,ES
S1806_NY_SC_VA_barcode08,1806_VAC2,barcode08,1806_NY_SC_VA,2018,6,VA,C2,Early summer,ES
S1806_NY_SC_VA_barcode09,1806_VAC3,barcode09,1806_NY_SC_VA,2018,6,VA,C3,Early summer,ES
S1806_NY_SC_VA_barcode10,1806_VAM1,barcode10,1806_NY_SC_VA,2018,6,VA,M1,Early summer,ES
S1806_NY_SC_VA_barcode11,1806_VAM2,barcode11,1806_NY_SC_VA,2018,6,VA,M2,Early summer,ES
S1806_NY_SC_VA_barcode12,1806_VAM3,barcode12,1806_NY_SC_VA,2018,6,VA,M3,Early summer,ES
S1811_CA_VA_IL_barcode01,1811_CA1,barcode01,1811_CA_VA_IL,2018,11,CA,CA1,Late fall,LF
S1811_CA_VA_IL_barcode02,1811_CA2,barcode02,1811_CA_VA_IL,2018,11,CA,CA2,Late fall,LF
S1811_CA_VA_IL_barcode03,1811_CA3,barcode03,1811_CA_VA_IL,2018,11,CA,CA3,Late fall,LF
S1811_CA_VA_IL_barcode04,1811_VAC1,barcode04,1811_CA_VA_IL,2018,11,VA,C1,Late fall,LF
S1811_CA_VA_IL_barcode05,1811_VAC2,barcode05,1811_CA_VA_IL,2018,11,VA,C2,Late fall,LF
S1811_CA_VA_IL_barcode06,1811_VAC3,barcode06,1811_CA_VA_IL,2018,11,VA,C3,Late fall,LF
S1811_CA_VA_IL_barcode07,1811_VAM1,barcode07,1811_CA_VA_IL,2018,11,VA,M1,Late fall,LF
S1811_CA_VA_IL_barcode08,1811_VAM2,barcode08,1811_CA_VA_IL,2018,11,VA,M2,Late fall,LF
S1811_CA_VA_IL_barcode09,1811_VAM3,barcode09,1811_CA_VA_IL,2018,11,VA,M3,Late fall,LF
S1811_CA_VA_IL_barcode10,1811_IL1,barcode10,1811_CA_VA_IL,2018,11,IL,IL1,Late fall,LF
S1811_CA_VA_IL_barcode11,1811_IL2,barcode11,1811_CA_VA_IL,2018,11,IL,IL2,Late fall,LF
S1811_CA_VA_IL_barcode12,1811_IL3,barcode12,1811_CA_VA_IL,2018,11,IL,IL3,Late fall,LF
S1811_SC_NY_1601_VA_barcode01,1811_SC1,barcode01,1811_SC_NY_1601_VA,2018,11,SC,SC1,Late fall,LF
S1811_SC_NY_1601_VA_barcode02,1811_SC2,barcode02,1811_SC_NY_1601_VA,2018,11,SC,SC2,Late fall,LF
S1811_SC_NY_1601_VA_barcode03,1811_SC3,barcode03,1811_SC_NY_1601_VA,2018,11,SC,SC3,Late fall,LF
S1811_SC_NY_1601_VA_barcode04,1811_NYNE1,barcode04,1811_SC_NY_1601_VA,2018,11,NY,NYNE,Late fall,LF
S1811_SC_NY_1601_VA_barcode05,1811_NYNW,barcode05,1811_SC_NY_1601_VA,2018,11,NY,NYNW,Late fall,LF
S1811_SC_NY_1601_VA_barcode06,1811_NYSE,barcode06,1811_SC_NY_1601_VA,2018,11,NY,NYSE,Late fall,LF
S1811_SC_NY_1601_VA_barcode07,1601_VAC1,barcode07,1811_SC_NY_1601_VA,2016,1,VA,C1,Winter,W
S1811_SC_NY_1601_VA_barcode08,1601_VAC2,barcode08,1811_SC_NY_1601_VA,2016,1,VA,C2,Winter,W
S1811_SC_NY_1601_VA_barcode09,1601_VAC3,barcode09,1811_SC_NY_1601_VA,2016,1,VA,C3,Winter,W
S1811_SC_NY_1601_VA_barcode10,1601_VAM1,barcode10,1811_SC_NY_1601_VA,2016,1,VA,M1,Winter,W
S1811_SC_NY_1601_VA_barcode11,1601_VAM2,barcode11,1811_SC_NY_1601_VA,2016,1,VA,M2,Winter,W
S1811_SC_NY_1601_VA_barcode12,1601_VAM3,barcode12,1811_SC_NY_1601_VA,2016,1,VA,M3,Winter,W
